Account_ID,Date,Transaction_details,Chq_no,Value_date,Withdrawal_amt,Withdrawal_currency,Deposit_amt,Deposit_currency,Balance_amt
ACC0013,2023-01-20,Own suggest idea direction find study.,7865913,2023-01-20,668.68,JPY,0.0,,50171.65
ACC0031,2023-01-20,Born religious side general loss single.,,2023-01-20,157.32,USD,0.0,,72958.86
ACC0023,2023-01-20,Kind too provide decision nature tax.,,2023-01-20,1884.6,INR,0.0,,6190.05
ACC0022,2023-01-20,Produce message event forward perhaps expect.,4012307,2023-01-20,0.0,,2973.06,SGD,71626.66
ACC0016,2023-01-21,Student increase interesting process popular and when.,6214237,2023-01-21,4899.09,EUR,0.0,,16713.68
ACC0024,2023-01-21,May send bit why information he certainly.,,2023-01-21,0.0,,1752.17,JPY,34314.67
ACC0016,2023-01-21,Share capital compare far hard.,,2023-01-21,2060.32,INR,0.0,,11800.09
ACC0015,2023-01-21,Ground defense whose pull.,1596311,2023-01-21,0.0,,759.7,GBP,69623.73
ACC0003,2023-01-21,The policy audience window source any.,,2023-01-21,3628.47,EUR,0.0,,22306.49
ACC0023,2023-01-21,My explain today foreign fire.,9146793,2023-01-21,0.0,,4066.02,JPY,35942.78
ACC0003,2023-01-21,Individual quality fly relationship try.,,2023-01-21,4868.97,EUR,0.0,,29224.17
ACC0016,2023-01-21,Direction knowledge building term.,,2023-01-21,0.0,,2468.27,INR,63676.11
ACC0023,2023-01-21,Effort close fast its culture.,,2023-01-21,0.0,,427.85,EUR,13266.35
ACC0024,2023-01-21,Whom trouble thousand fill firm lot though.,,2023-01-21,0.0,,2974.39,SGD,11487.02
ACC0016,2023-01-22,Event security kind page.,3117943,2023-01-22,779.0,JPY,0.0,,82896.44
ACC0025,2023-01-22,Really commercial newspaper toward draw executive.,,2023-01-22,4144.76,USD,0.0,,19432.25
ACC0005,2023-01-22,Face act pay back discuss.,6404347,2023-01-22,0.0,,1824.24,USD,13145.52
ACC0002,2023-01-22,Talk plant fight blood decision really tell.,,2023-01-22,0.0,,2616.47,USD,10524.38
ACC0035,2023-01-22,Ten mother plant not decide ahead life.,,2023-01-22,4448.23,SGD,0.0,,9519.27
ACC0028,2023-01-23,Color phone either effect.,,2023-01-23,2550.23,JPY,0.0,,61019.29
ACC0024,2023-01-23,Large area career anyone article.,6075462,2023-01-23,4259.2,GBP,0.0,,78780.37
ACC0029,2023-01-23,Grow it television prevent year plan campaign.,0957481,2023-01-23,0.0,,2593.78,GBP,38423.6
ACC0043,2023-01-23,Set lead yet Congress fill.,4187215,2023-01-23,4500.55,EUR,0.0,,52405.46
ACC0039,2023-01-23,Political spend bed alone court item.,,2023-01-23,3089.41,GBP,0.0,,81269.07
ACC0018,2023-01-23,Pm despite quality care.,8275822,2023-01-23,4124.06,GBP,0.0,,25134.76
ACC0046,2023-01-23,Product method stop trade.,8774756,2023-01-23,0.0,,793.49,USD,78570.89
ACC0006,2023-01-23,Reason yourself there system rate rest.,1465581,2023-01-23,4690.02,JPY,0.0,,56557.88
ACC0028,2023-01-23,Among relate explain conference visit.,7638063,2023-01-23,0.0,,3514.94,GBP,47569.54
ACC0014,2023-01-24,Approach order nation sea.,7442706,2023-01-24,0.0,,2196.38,USD,20893.67
ACC0047,2023-01-24,Agency around teacher seat determine seem method.,,2023-01-24,302.34,EUR,0.0,,86369.25
ACC0005,2023-01-24,Always too future any even go participant.,,2023-01-24,0.0,,3507.07,EUR,86956.06
ACC0026,2023-01-24,Leader real ten southern.,6830784,2023-01-24,584.69,USD,0.0,,27200.77
ACC0006,2023-01-24,Family least support knowledge.,0397183,2023-01-24,1243.5,JPY,0.0,,61442.77
ACC0007,2023-01-24,Design note important necessary.,0393013,2023-01-24,0.0,,2442.29,USD,61297.8
ACC0001,2023-01-24,Two house building series no bag discussion.,3092202,2023-01-24,0.0,,3748.94,JPY,52436.21
ACC0024,2023-01-24,Mouth ago degree.,,2023-01-24,0.0,,434.94,JPY,47433.86
ACC0043,2023-01-24,Down now final seat inside accept our.,7219597,2023-01-24,2987.22,USD,0.0,,62921.58
ACC0033,2023-01-24,Class what take according money real.,3806498,2023-01-24,4476.58,USD,0.0,,96670.33
ACC0005,2023-01-25,Edge politics pay treatment.,,2023-01-25,0.0,,2075.48,INR,84217.3
ACC0027,2023-01-25,Add represent need difference.,4043054,2023-01-25,2334.66,USD,0.0,,57623.8
ACC0030,2023-01-25,Couple guess leave parent carry sign yard ready.,1204879,2023-01-25,0.0,,1945.68,EUR,61769.96
ACC0046,2023-01-25,Hotel perhaps pretty send.,7185823,2023-01-25,0.0,,2566.65,USD,71991.33
ACC0032,2023-01-25,Wife anyone quickly no.,,2023-01-25,3733.19,JPY,0.0,,25649.34
ACC0036,2023-01-25,Sure artist forward section magazine national.,,2023-01-25,4545.76,EUR,0.0,,36917.09
ACC0017,2023-01-25,Give parent pattern new woman.,9445578,2023-01-25,575.05,INR,0.0,,87922.47
ACC0020,2023-01-26,All remain own positive term effort maybe.,,2023-01-26,0.0,,351.38,INR,10310.65
ACC0048,2023-01-26,Market next make election think reduce open.,9699114,2023-01-26,573.12,EUR,0.0,,87661.3
ACC0011,2023-01-26,Do your audience source decision whatever prevent.,5995421,2023-01-26,0.0,,4845.4,JPY,20340.15
ACC0034,2023-01-26,Open century policy after attack anything impact political.,4317237,2023-01-26,3897.31,EUR,0.0,,94966.94
ACC0029,2023-01-26,Particular hard fire church medical well.,,2023-01-26,0.0,,1215.69,EUR,43255.54
ACC0009,2023-01-26,Whatever forget police simple.,7041613,2023-01-26,975.78,USD,0.0,,15943.09
ACC0016,2023-01-26,Trade bit little happen exist summer matter.,,2023-01-26,0.0,,2871.03,GBP,51199.36
ACC0027,2023-01-26,We become per.,,2023-01-26,0.0,,3147.39,GBP,20505.64
ACC0027,2023-01-27,Because suggest suffer government side.,7047693,2023-01-27,718.13,INR,0.0,,85495.75
ACC0029,2023-01-27,Should house manage job.,4299364,2023-01-27,847.62,JPY,0.0,,23188.28
ACC0014,2023-01-27,Level data adult interview spend.,2591774,2023-01-27,746.13,EUR,0.0,,77288.65
ACC0041,2023-01-27,Tv me television that.,,2023-01-27,0.0,,2708.5,JPY,49764.07
ACC0003,2023-01-27,Positive current wonder the serious manage law surface.,,2023-01-27,2338.92,SGD,0.0,,74656.98
ACC0006,2023-01-27,Attack professor fish need.,7596103,2023-01-27,0.0,,4960.49,INR,15650.2
ACC0023,2023-01-27,Threat commercial look.,7975715,2023-01-27,2222.89,USD,0.0,,73730.9
ACC0006,2023-01-27,Matter in view example than event voice.,,2023-01-27,0.0,,325.26,SGD,52206.06
ACC0049,2023-01-27,Local never term rich his item her.,6901860,2023-01-27,0.0,,4342.56,SGD,78410.39
ACC0044,2023-01-28,Yourself perform coach send daughter last.,7778853,2023-01-28,0.0,,4350.88,EUR,75043.02
ACC0029,2023-01-28,Option test candidate assume war thus truth situation.,,2023-01-28,0.0,,1565.7,SGD,88644.22
ACC0001,2023-01-28,Behind everything start whole.,,2023-01-28,2554.14,SGD,0.0,,86089.45
ACC0015,2023-01-28,Everything without range create.,3384022,2023-01-28,4766.94,INR,0.0,,35690.78
ACC0033,2023-01-28,Hand something toward notice true rather.,7778221,2023-01-28,3167.93,JPY,0.0,,32731.03
ACC0041,2023-01-28,Contain cultural of thing.,,2023-01-28,2405.02,USD,0.0,,48606.83
ACC0034,2023-01-28,Kind choice my ability theory their ask.,,2023-01-28,0.0,,3343.87,EUR,21373.06
ACC0046,2023-01-29,Continue also fall senior quickly get pay.,8637299,2023-01-29,3730.98,EUR,0.0,,60837.56
ACC0025,2023-01-29,Professional concern key system smile community.,4186821,2023-01-29,2053.19,EUR,0.0,,95539.29
ACC0041,2023-01-29,Base choice line store.,,2023-01-29,1356.25,USD,0.0,,16217.51
ACC0008,2023-01-29,Former attention hospital station short as activity.,,2023-01-29,633.68,INR,0.0,,38684.12
ACC0039,2023-01-29,Rise hotel face line past action.,,2023-01-29,0.0,,1761.55,JPY,17792.61
ACC0028,2023-01-29,Mr store minute almost.,7505113,2023-01-29,1435.62,INR,0.0,,78291.9
ACC0037,2023-01-30,Various wrong person over Mr remember behavior avoid.,1379828,2023-01-30,4543.81,JPY,0.0,,86580.29
ACC0003,2023-01-30,Leave stage like offer assume style operation recent.,5374070,2023-01-30,0.0,,1993.8,EUR,20840.44
ACC0037,2023-01-30,Rule summer audience common.,,2023-01-30,0.0,,2101.53,USD,91099.52
ACC0026,2023-01-30,Avoid single door sound number be.,,2023-01-30,0.0,,1338.18,SGD,46432.88
ACC0049,2023-01-30,Seven help seven six left.,6601776,2023-01-30,0.0,,434.81,JPY,61537.48
ACC0026,2023-01-30,Ball media site green each both sure.,,2023-01-30,0.0,,3960.64,INR,93424.61
ACC0041,2023-01-30,Ready drive main skin.,,2023-01-30,0.0,,4366.61,USD,12956.2
ACC0004,2023-01-31,Clearly room image consider.,7475250,2023-01-31,0.0,,2544.12,JPY,24364.33
ACC0017,2023-01-31,Good miss style behind answer industry plan me.,7850983,2023-01-31,0.0,,1803.98,EUR,70652.91
ACC0015,2023-01-31,Method thus want learn us exactly reason already.,8423890,2023-01-31,4509.26,JPY,0.0,,64231.53
ACC0023,2023-01-31,Argue task recently magazine want should.,5623208,2023-01-31,0.0,,4943.23,INR,89406.11
ACC0045,2023-01-31,Miss partner develop seem likely cost.,,2023-01-31,955.99,EUR,0.0,,45361.36
ACC0018,2023-02-01,Measure catch top he six before.,4688482,2023-02-01,4618.76,GBP,0.0,,32202.41
ACC0027,2023-02-01,Authority at form.,3035261,2023-02-01,0.0,,3692.77,USD,92252.52
ACC0032,2023-02-01,As resource prove why few each.,0652577,2023-02-01,3152.67,SGD,0.0,,77260.06
ACC0024,2023-02-01,Kitchen learn relationship front unit impact administration.,,2023-02-01,0.0,,3637.83,GBP,7909.54
ACC0037,2023-02-01,Oil nice police identify language save.,0057832,2023-02-01,1503.76,JPY,0.0,,75491.43
ACC0033,2023-02-01,Sense kid picture theory ok.,9770686,2023-02-01,0.0,,1652.27,EUR,82190.14
ACC0028,2023-02-01,Light during opportunity happen yes.,1376853,2023-02-01,4852.34,EUR,0.0,,84673.22
ACC0005,2023-02-01,Yourself use interesting.,6340720,2023-02-01,1217.87,GBP,0.0,,35709.77
ACC0018,2023-02-01,Include left adult fall admit development talk environment.,8032789,2023-02-01,1584.17,SGD,0.0,,82827.3
ACC0019,2023-02-01,Writer section common test.,,2023-02-01,0.0,,689.74,INR,32538.15
ACC0046,2023-02-02,Relationship best performance shoulder.,0882081,2023-02-02,276.53,SGD,0.0,,89788.27
ACC0040,2023-02-02,Account beat drug two trade law student.,,2023-02-02,0.0,,2036.1,JPY,60671.76
ACC0025,2023-02-02,Throughout city prevent public.,,2023-02-02,0.0,,2714.14,JPY,87685.96
ACC0032,2023-02-02,Either someone any reflect job.,8998717,2023-02-02,0.0,,2948.14,USD,71073.08
ACC0014,2023-02-02,But cell responsibility.,1376202,2023-02-02,1808.93,INR,0.0,,32893.46
ACC0035,2023-02-02,Near strategy without chair.,,2023-02-02,4395.69,JPY,0.0,,67193.61
ACC0002,2023-02-02,Pretty center return inside operation old case.,,2023-02-02,825.07,USD,0.0,,46487.25
ACC0010,2023-02-02,And walk they assume.,,2023-02-02,0.0,,3362.44,EUR,22818.34
ACC0008,2023-02-02,Nothing national statement go nothing.,,2023-02-02,935.31,GBP,0.0,,46273.86
ACC0019,2023-02-02,Want note first school.,7233818,2023-02-02,0.0,,2286.74,SGD,71391.4
ACC0050,2023-02-03,Far for determine security rise indicate piece.,3063739,2023-02-03,1009.41,GBP,0.0,,78868.36
ACC0016,2023-02-03,Claim effect out.,7052723,2023-02-03,1524.23,GBP,0.0,,23661.69
